Name of field in the created view,Name of field in the table/view it comes from,Comments regarding creation
name_view,name_table,comment
ambigID,ambigID,
antBearing,bearing,
antHeight,heightMeters,
antType,antennaType,
batchID,batchID,
bootnum,monoBN,
burstSlop,burstSlop,
codeSet,codeSet,
deviceID,motusDeviceID,
done,done,
freq,freq,
freqsd,freqSD,
fullID,fullID,"If null calculated from label, projectID, mfgID from tags and bi from tags"
gpsAlt,alt,
gpsLat,lat,
gpsLon,lon,
hitID,hitID,
isRecvMobile,isMobile,
markerNumber,markerNumber,
markerType,markerType,
mfg,manufacturer,
mfgID,mfgID,
motusFilter,motusFilter,
motusTagID,motusTagID,"In views, comes from allambigs view if ambiguous, otherwise from runs"
nodeNum,nodeNum,
noise,noise,
nomFreq,nomFreq,
port,ant,
pulseLen,pulseLen,
recv,serno,
recvDeployAlt,elevation,
recvDeployID,deployID,
recvDeployLat,latitude,
recvDeployLon,longitude,
recvDeployName,name,
recvProjID,projectID,
recvProjName,label,
recvSiteName,siteName,
recvUtcOffset,utcOffset,
runID,runID,
runLen,len,
sig,sig,
sigsd,sigSD,
slop,slop,
speciesEN,english,
speciesFR,french,
speciesGroup,group,
speciesID,speciesID,
speciesSci,scientific,
tagBI,bi,
tagDepAlt,elevation,
tagDepComments,comments,
tagDepLat,latitude,
tagDepLon,longitude,
tagDeployAlt,,
tagDeployEnd,tsEnd,
tagDeployID,deployID,
tagDeployLat,,
tagDeployLon,,
tagDeployStart,tsStart,
tagDeployTest,test,
tagLifespan,lifeSpan,
tagModel,model,
tagProjID,projectID,
tagProjName,label,
tagType,type,
ts,ts,
tsBegin,tsBegin,
tsBeginCorrected,,"Calculated using ts from hits, utcOffset from recvDeps"
tsCorrected,,"Calculated using ts from hits, utcOffset from recvDeps"
tsEnd,tsEnd,
tsEndCorrected,,"Calculated using ts from hits, utcOffset from recvDeps"
